PacketSize,Latency(ms),Throughput(Mbps)
6744,0.10,509.03
6754,0.12,432.58
6764,0.09,549.63
6774,0.09,575.45
6784,0.11,466.50
6794,0.09,571.87
6804,0.09,567.39
6814,0.10,541.98
6824,0.10,500.41
6834,0.12,445.94
6844,0.09,587.29
6854,0.11,482.09
6864,0.12,450.71
6874,0.11,496.63
6884,0.10,518.52
6894,0.11,473.38
6904,0.08,637.85
6914,0.10,522.53
6924,0.09,611.62
6934,0.09,605.43
6944,0.10,516.31
6954,0.09,622.56
6964,0.09,560.81
6974,0.11,483.70
6984,0.12,451.59
6994,0.09,604.17
7004,0.08,686.40
7014,0.10,559.05
7024,0.10,560.55
7034,0.09,581.67
7044,0.09,567.91
7054,0.15,363.14
7064,0.09,611.18
7074,0.09,601.54
7084,0.12,433.41
7094,0.08,654.53
7104,0.10,563.58
7114,0.09,574.77
7124,0.10,560.33
7134,0.11,505.93
7144,0.09,604.66
7154,0.10,520.51
7164,0.12,446.84
7174,0.18,302.63
7184,0.10,529.15
7194,0.11,489.57
7204,0.11,505.96
7214,0.10,541.88
7224,0.13,440.46
7234,0.11,510.32
7244,0.12,474.23
7254,0.11,504.32
7264,0.11,516.64
7274,0.13,432.18
7284,0.10,543.92
7294,0.11,489.56
7304,0.10,562.26
7314,0.09,633.75
7324,0.10,556.05
7334,0.11,510.11
7344,0.11,513.57
7354,0.11,518.16
7364,0.12,485.26
7374,0.10,544.88
7384,0.10,580.36
7394,0.10,562.60
7404,0.09,622.94
7414,0.11,501.72
7424,0.09,597.47
7434,0.10,551.02
7444,0.12,464.64
7454,0.09,616.67
7464,0.10,559.50
7474,0.12,471.22
7484,0.09,623.28
7494,0.10,569.87
7504,0.12,478.65
7514,0.10,570.42
7524,0.12,492.86
7534,0.17,344.05
7544,0.10,562.02
7554,0.08,692.61
7564,0.11,523.86
7574,0.12,492.71
7584,0.09,619.57
7594,0.09,623.66
7604,0.10,557.93
7614,0.13,456.47
7624,0.09,612.99
7634,0.12,488.49
7644,0.08,704.51
7654,0.09,638.76
7664,0.10,583.61
7674,0.11,551.71
7684,0.14,430.71
7694,0.10,561.03
7704,0.10,580.05
