PacketSize,Latency(ms),Throughput(Mbps)
7384,0.05,1168.06
7394,0.05,1217.61
7404,0.05,1158.73
7414,0.05,1198.14
7424,0.05,1159.96
7434,0.05,1149.74
7444,0.05,1145.49
7454,0.05,1124.57
7464,0.05,1170.28
7474,0.05,1176.93
7484,0.05,1168.13
7494,0.05,1186.94
7504,0.05,1162.69
7514,0.05,1204.61
7524,0.05,1190.20
7534,0.05,1259.69
7544,0.05,1156.44
7554,0.05,1180.03
7564,0.05,1141.39
7574,0.05,1211.68
7584,0.05,1218.65
7594,0.05,1266.95
7604,0.05,1222.89
7614,0.05,1211.22
7624,0.05,1255.48
7634,0.05,1209.86
7644,0.05,1214.48
7654,0.05,1213.03
7664,0.05,1199.67
7674,0.05,1258.01
7684,0.06,1054.20
7694,0.05,1198.22
7704,0.05,1196.60
7714,0.05,1111.91
7724,0.05,1242.71
7734,0.05,1194.93
7744,0.05,1250.68
7754,0.05,1222.78
7764,0.05,1256.04
7774,0.05,1302.39
7784,0.05,1245.80
7794,0.05,1271.67
7804,0.05,1189.37
7814,0.05,1218.15
7824,0.05,1254.31
7834,0.05,1213.33
7844,0.05,1220.33
7854,0.05,1256.21
7864,0.05,1162.74
7874,0.05,1221.01
7884,0.05,1257.32
7894,0.05,1221.38
7904,0.05,1229.41
7914,0.05,1295.13
7924,0.05,1210.80
7934,0.05,1284.90
7944,0.05,1221.69
7954,0.05,1256.66
7964,0.05,1204.61
7974,0.05,1283.48
7984,0.05,1227.59
7994,0.05,1289.69
8004,0.05,1220.34
8014,0.05,1221.86
8024,0.05,1267.98
8034,0.06,999.91
8044,0.05,1267.99
8054,0.05,1219.19
8064,0.05,1280.67
8074,0.05,1252.54
8084,0.05,1288.41
8094,0.05,1196.05
8104,0.05,1258.73
8114,0.05,1234.39
8124,0.05,1285.65
8134,0.05,1269.33
8144,0.05,1231.84
8154,0.05,1288.53
8164,0.05,1146.23
8174,0.05,1261.13
8184,0.05,1242.57
8194,0.05,1219.10
8204,0.05,1223.21
8214,0.05,1246.63
8224,0.05,1288.65
8234,0.05,1266.29
8244,0.05,1298.71
8254,0.05,1297.61
8264,0.05,1281.75
8274,0.05,1326.73
8284,0.06,1143.10
8294,0.05,1312.28
8304,0.05,1283.52
8314,0.05,1315.45
8324,0.05,1264.07
8334,0.05,1340.01
8344,0.05,1282.94
8354,0.05,1324.80
8364,0.05,1287.58
8374,0.05,1267.13
8384,0.05,1202.57
8394,0.06,1015.08
8404,0.06,1020.98
8414,0.06,1020.24
8424,0.06,1029.31
8434,0.05,1269.66
8444,0.05,1274.18
8454,0.05,1293.08
8464,0.05,1304.81
8474,0.06,1131.26
8484,0.05,1312.94
8494,0.05,1312.35
8504,0.05,1370.81
8514,0.05,1310.93
8524,0.06,1174.09
8534,0.05,1348.86
8544,0.05,1245.43
8554,0.05,1312.32
8564,0.05,1301.04
8574,0.05,1359.12
8584,0.05,1325.72
8594,0.05,1323.78
8604,0.05,1336.11
8614,0.05,1203.22
8624,0.05,1252.30
8634,0.05,1378.37
8644,0.05,1236.38
8654,0.05,1352.14
8664,0.05,1357.31
8674,0.05,1340.17
8684,0.05,1357.38
8694,0.05,1389.40
8704,0.05,1247.30
8714,0.05,1256.28
8724,0.05,1414.34
8734,0.05,1221.32
8744,0.06,1171.61
8754,0.05,1397.52
8764,0.05,1295.81
8774,0.05,1229.16
8784,0.05,1384.93
8794,0.05,1311.18
8804,0.05,1390.38
8814,0.05,1370.12
8824,0.05,1281.10
8834,0.05,1398.30
8844,0.05,1324.59
8854,0.05,1458.35
8864,0.05,1253.51
8874,0.05,1351.36
8884,0.05,1402.14
8894,0.05,1342.88
8904,0.05,1338.56
8914,0.05,1378.08
8924,0.05,1342.10
8934,0.05,1371.17
8944,0.05,1345.11
8954,0.05,1368.19
8964,0.05,1403.45
8974,0.05,1415.76
8984,0.05,1271.66
8994,0.06,1244.67
